StoneAge GameTime 2001 library supplementary-material probe — R1
SCOPE|public-catalog-metadata-only|no-book-or-cd-payload-download
TARGET|isbn10=8995182121|isbn13=9788995182123|riss_ids=M10029631,U10029631
COUNT|queries|14
COUNT|errors|0
COUNT|responses|14
COUNT|snippet_hits|237
COUNT|relevant_links|554
RESPONSE|source=kolis-total-8995182121|status=200|requested=https://www.nl.go.kr/kolisnet/search/searchResultAllList.do?keyword1=8995182121&keywordType1=total&tab=ALL|final=https://www.nl.go.kr/kolisnet/search/searchResultAllList.do?keyword1=8995182121&keywordType1=total&tab=ALL|ids=U10029631
SNIPPET|source=kolis-total-8995182121|token=스톤 에이지|text=분류기호 검색 분류기호 검색 영역 분류기호명: 닫기 전체 일반도서 잡지/학술지 학위논문 멀티미디어/비도서 디지털신문 다른기관자료 검색결과제한 검색 결과 제한 자료유형 전체 (1) 일반도서 (1) 발행시기 2001-2010 (1) 주제별 예술 (1) 언어 언어불명 (1) 확인 일반도서 결과 1 건 + 모두보기 --> 예술 스톤 에이지 / 게임타임 [편] 오프라인 : 1개 판 : 2001 2 개 도서관 소장 + 모두보기 학위논문 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 디지털 신문 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 국회도서관 소장자료 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 잡지/
SNIPPET|source=kolis-total-8995182121|token=스톤 에이지|text=자료가 없습니다. + 모두보기 국회도서관 소장자료 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 잡지/학술지 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 멀티미디어/비도서 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 대학도서관 종합목록 결과 1 건 + 모두보기 --> 스톤 에이지 = Stone age / 게임타임 게임타임, 2001 + 모두보기 우편번호 06579 서울시 서초구 반포대로 201(반포동) 대표전화 : 02-590-6220, 02-590-0626 팩스 : 02-590-6335 Copyrightⓒ National Library of Korea. All rights reserved. 개
SNIPPET|source=kolis-total-8995182121|token=게임타임|text=류기호 검색 영역 분류기호명: 닫기 전체 일반도서 잡지/학술지 학위논문 멀티미디어/비도서 디지털신문 다른기관자료 검색결과제한 검색 결과 제한 자료유형 전체 (1) 일반도서 (1) 발행시기 2001-2010 (1) 주제별 예술 (1) 언어 언어불명 (1) 확인 일반도서 결과 1 건 + 모두보기 --> 예술 스톤 에이지 / 게임타임 [편] 오프라인 : 1개 판 : 2001 2 개 도서관 소장 + 모두보기 학위논문 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 디지털 신문 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 국회도서관 소장자료 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 잡지/학술지 결과
SNIPPET|source=kolis-total-8995182121|token=게임타임|text=서관 소장자료 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 잡지/학술지 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 멀티미디어/비도서 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 대학도서관 종합목록 결과 1 건 + 모두보기 --> 스톤 에이지 = Stone age / 게임타임 게임타임, 2001 + 모두보기 우편번호 06579 서울시 서초구 반포대로 201(반포동) 대표전화 : 02-590-6220, 02-590-0626 팩스 : 02-590-6335 Copyrightⓒ National Library of Korea. All rights reserved. 개인정보처리방침 사이트맵 시스템 소개
SNIPPET|source=kolis-total-8995182121|token=게임타임|text=자료 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 잡지/학술지 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 멀티미디어/비도서 결과 0 건 + 모두보기 --> 자료가 없습니다. + 모두보기 대학도서관 종합목록 결과 1 건 + 모두보기 --> 스톤 에이지 = Stone age / 게임타임 게임타임, 2001 + 모두보기 우편번호 06579 서울시 서초구 반포대로 201(반포동) 대표전화 : 02-590-6220, 02-590-0626 팩스 : 02-590-6335 Copyrightⓒ National Library of Korea. All rights reserved. 개인정보처리방침 사이트맵 시스템 소개 -->
